"Row.names","Type","Class","Gene","Assay","beta.GroupSepsis","se.GroupSepsis","W.GroupSepsis","p_val.GroupSepsis","q_val.GroupSepsis","diff_abn.GroupSepsis"
"Gene_106","ARG","Beta-lactam","cfxA"," 106",-1.73753449734696,0.772502578919708,-2.24922808643148,0.0244979884178875,1,FALSE
"Gene_107","ARG","Beta-lactam","cepA"," 107",-1.13488274427851,0.507381765428023,-2.23674326041483,0.0253031248374356,1,FALSE
"Gene_11","ARG","MDR","acrF","  11",-3.01632760740332,0.921499190340989,-3.27328297085878,0.00106305993524995,0.18709854860399,FALSE
"Gene_1104","ARG","Beta-lactam","beta_ccra","1104",-0.994135562609917,0.470610121038384,-2.11243982687069,0.0346487420093743,1,FALSE
"Gene_1110","ARG","Beta-lactam","blaSHV-11","1110",2.21345020655571,0.902494415705702,2.45259158177163,0.0141831270654359,1,FALSE
"Gene_1116","ARG","Beta-lactam","blaLEN","1116",1.69947399814609,0.707238579574045,2.40297128469667,0.0162624643737775,1,FALSE
"Gene_1121","ARG","Beta-lactam","blaGOB","1121",1.14678084259669,0.51632471875485,2.22104578948346,0.0263478601841133,1,FALSE
"Gene_12","ARG","MDR","adeA","  12",1.98905491648007,0.870186212672451,2.28578077601509,0.0222670868787421,1,FALSE
"Gene_1300","ARG","MDR","mdth","1300",-2.78119818303326,0.845350739837152,-3.28999319687001,0.00100189805070033,0.177335954973959,FALSE
"Gene_1506","ARG","Beta-lactam","blaOXA10","1506",1.83080514689543,0.902909626940118,2.02767263995165,0.0425936698325958,1,FALSE
"Gene_1509","ARG","MDR","mdtA","1509",-2.66239240184496,0.858108515561752,-3.10262904232112,0.00191809904262517,0.326076837246278,FALSE
"Gene_1510","ARG","Aminoglycoside","aac3-Via","1510",1.64708516507591,0.782284663729349,2.1054805768834,0.0352494963051112,1,FALSE
"Gene_1519","ARG","MLSB","lnuC","1519",-1.28185295307991,0.468110595723697,-2.73835492037554,0.00617473976374597,1,FALSE
"Gene_1520","ARG","Other","fabK","1520",3.36727443868051,0.809174772137566,4.16136853820258,3.16346087507653e-05,0.00578913340139004,TRUE
"Gene_1524","MGE","Plasmid","mobA","1524",1.55485726874907,0.672453532430069,2.31221518478791,0.0207658278944481,1,FALSE
"Gene_1529","ARG","MDR","copA","1529",2.34105518873035,0.790064513484539,2.96311902227483,0.00304538787883034,0.508579775764666,FALSE
"Gene_1549","ARG","MDR","sugE","1549",-2.11036778949151,0.808250670705399,-2.61103128766932,0.0090269634658875,1,FALSE
"Gene_1551","MGE","Insertional sequence","IS200_1","1551",-1.56313877441104,0.607169998809489,-2.57446642204979,0.0100394830834166,1,FALSE
"Gene_1557","MGE","Insertional sequence","IS200_2","1557",-2.25800877478447,0.842532636313267,-2.68002529215368,0.00736165976477998,1,FALSE
"Gene_1563","MGE","Plasmid","IncN_korA","1563",2.22529445601757,0.768688154811255,2.8949248691935,0.00379249291458056,0.629553823820373,FALSE
"Gene_1577","ARG","Fluoroquinolone","oqxA","1577",2.0179852324945,0.837873696440333,2.40845993980694,0.0160199843364127,1,FALSE
"Gene_181","ARG","Tetracycline","tetB"," 181",-1.61738320145379,0.792053681042474,-2.04201210115588,0.0411503309777079,1,FALSE
"Gene_185","ARG","Tetracycline","tetQ"," 185",-2.24078994168423,0.85237912918537,-2.6288653311183,0.00856702797219889,1,FALSE
"Gene_191","ARG","Tetracycline","tetW"," 191",-3.30286315253984,0.765205861888886,-4.31630665294021,1.58661527332538e-05,0.0029511044083852,TRUE
"Gene_192","ARG","Tetracycline","tetO"," 192",-2.42558352658405,0.760335245612827,-3.19015005628082,0.0014219893900846,0.243716251800322,FALSE
"Gene_199","ARG","Tetracycline","tetC"," 199",-2.50902623777721,0.720074671474308,-3.48439729540845,0.000493246723704234,0.0882911635430578,FALSE
"Gene_200","ARG","Tetracycline","tetS"," 200",1.58533249624453,0.712321051202861,2.22558703490154,0.0260418554184616,1,FALSE
"Gene_207","MGE","Transposon","tnpA_5"," 207",2.47217951225123,0.814982033460376,3.03341596593788,0.00241802045402422,0.406227436276068,FALSE
"Gene_208","ARG","Sulfonamide","folA"," 208",-1.77237571816171,0.625147687933193,-2.8351312055898,0.00458068686738623,0.751232646251342,FALSE
"Gene_227","ARG","MLSB","vgaB"," 227",1.3878301342686,0.554484779211898,2.5029183600696,0.012317395319187,1,FALSE
"Gene_229","ARG","MLSB","pica"," 229",1.31765210358227,0.501672065836748,2.62652077584694,0.00862627263053432,1,FALSE
"Gene_251","ARG","MLSB","lnuA"," 251",-1.50801166513018,0.553499254678703,-2.72450532206328,0.00643978924654878,1,FALSE
"Gene_26","MGE","Insertional sequence","IS613","  26",-2.64859413824906,0.739568614132299,-3.58126898253589,0.000341929401715183,0.0615472923087329,FALSE
"Gene_298","ARG","MDR","tolC"," 298",-3.52121592686369,0.891914827345972,-3.94792845561454,7.88303533634437e-05,0.0143471243121467,TRUE
"Gene_3","ARG","Aminoglycoside","aacC2","   3",2.78825034454495,0.900623886598326,3.09590983099086,0.00196210017547109,0.331594929654615,FALSE
"Gene_36","ARG","Beta-lactam","blaPAO/PDC","  36",1.23681813027022,0.60725238750875,2.03674477978467,0.0416756245655338,1,FALSE
"Gene_362","ARG","Beta-lactam","NDM new"," 362",5.76524269737711,0.97993665615005,5.88328098678077,4.02212221401882e-09,7.52136854021518e-07,TRUE
"Gene_410","ARG","Aminoglycoside","aac(3)-iid_iii_iif_iia_iie"," 410",2.70787167540773,0.842888664188811,3.21260896065527,0.00131535243924476,0.228871324428588,FALSE
"Gene_429","ARG","Aminoglycoside","aadB"," 429",2.0029984858063,0.865368953589013,2.31461791817133,0.0206338513910888,1,FALSE
"Gene_54","ARG","Tetracycline","tet(32)","  54",-2.2978731226116,0.71606921551945,-3.20900978956996,0.00133192957023349,0.230423815650393,FALSE
"Gene_59","ARG","Trimethoprim","dfrA12","  59",-1.44286591579014,0.63230353685687,-2.28191972950603,0.0224940797969447,1,FALSE
"Gene_6","ARG","Aminoglycoside","aacA/aphD","   6",1.79677861977509,0.845466682332576,2.12519151531544,0.0335706357330255,1,FALSE
"Gene_603","ARG","Trimethoprim","dfra21"," 603",-1.72998822908491,0.632141320530917,-2.73671119557878,0.00620567469230877,1,FALSE
"Gene_612","ARG","Trimethoprim","dfrA27"," 612",1.42923479779168,0.554140030301879,2.57919428237854,0.00990310724587745,1,FALSE
"Gene_62","ARG","MDR","acrA","  62",-2.93741398112907,0.863057228073814,-3.40349849996024,0.000665287786595815,0.118421226014055,FALSE
"Gene_703","ARG","Other","Arr2"," 703",2.07778879997552,0.729294375165143,2.84903993604094,0.00438513756960972,0.723547698985604,FALSE
"Gene_81","ARG","MDR","mdtE/yhiU","  81",-2.90043213510114,0.893483142987581,-3.24620800947943,0.00116953352252396,0.204668366441692,FALSE
"Gene_812","ARG","MLSB","mphA"," 812",-3.09484952798359,0.736849770641327,-4.20010923704291,2.66786234526207e-05,0.00490886671528221,TRUE
"Gene_813","ARG","MLSB","vat(A)"," 813",2.63070471858409,0.824368715000881,3.19117485988205,0.00141695495232745,0.243716251800322,FALSE
"Gene_815","ARG","MLSB","erm(35)"," 815",1.71613034265482,0.784754910057524,2.18683606902061,0.0287544933421338,1,FALSE
"Gene_818","ARG","MLSB","lnu(F)"," 818",-1.80145073601357,0.727439291193912,-2.47642759721836,0.0132704537836391,1,FALSE
"Gene_9","ARG","MDR","acrB","   9",-3.49909018262632,0.896919632671682,-3.90123045049585,9.57049878251414e-05,0.0173226027963506,TRUE
"Gene_909","ARG","Amphenicol","catP"," 909",-2.45793813209657,0.584570037605356,-4.2046940041014,2.61435610364345e-05,0.00483655879174039,TRUE
